Number,CLDR,Emoji,Name,Dict - Meaning,Dict - Where Does It Come From?,Dict - Who Uses It?,Image,Url
1,pile-of-poo-emoji,💩, Pile of Poo emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4a9.svg,https://www.dictionary.com/e/emoji/pile-of-poo-emoji/
2,sunflower-emoji,🌻, Sunflower emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f33b.svg,https://www.dictionary.com/e/emoji/sunflower-emoji/
3,ophiuchus-emoji,⛎, Ophiuchus Emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/26ce.svg,https://www.dictionary.com/e/emoji/ophiuchus-emoji/
4,taurus-emoji,♉, Taurus Emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2649.svg,https://www.dictionary.com/e/emoji/taurus-emoji/
5,aries-emoji,♈, Aries Emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2648.svg,https://www.dictionary.com/e/emoji/aries-emoji/
6,pisces-emoji,♓, Pisces emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2653.svg,https://www.dictionary.com/e/emoji/pisces-emoji/
7,fish-emoji,🐟, Fish emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f41f.svg,https://www.dictionary.com/e/emoji/fish-emoji/
8,heart-with-arrow-emoji,💘, Heart With Arrow emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f498.svg,https://www.dictionary.com/e/emoji/heart-with-arrow-emoji/
9,curling-stone-emoji,🥌, Curling Stone emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f94c.svg,https://www.dictionary.com/e/emoji/curling-stone-emoji/
10,tiger-face-emoji,🐯, Tiger Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f42f.svg,https://www.dictionary.com/e/emoji/tiger-face-emoji/
11,tiger-emoji,🐅, Tiger emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f405.svg,https://www.dictionary.com/e/emoji/tiger-emoji/
12,aquarius-emoji,♒, Aquarius emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2652.svg,https://www.dictionary.com/e/emoji/aquarius-emoji/
13,capricorn-emoji,♑, Capricorn emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2651.svg,https://www.dictionary.com/e/emoji/capricorn-emoji/
14,mrs-claus,🤶, Mrs. Claus emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f936.svg,https://www.dictionary.com/e/emoji/mrs-claus/
15,menorah-emoji,🕎, Menorah emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f54e.svg,https://www.dictionary.com/e/emoji/menorah-emoji/
16,cookie-emoji,🍪, Cookie emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f36a.svg,https://www.dictionary.com/e/emoji/cookie-emoji/
17,santa-claus-emoji,🎅, Santa Claus emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f385.svg,https://www.dictionary.com/e/emoji/santa-claus-emoji/
18,diya-lamp-emoji,🪔, Diya Lamp emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1fa94.svg,https://www.dictionary.com/e/emoji/diya-lamp-emoji/
19,spaghetti-emoji,🍝, Spaghetti emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f35d.svg,https://www.dictionary.com/e/emoji/spaghetti-emoji/
20,scorpion-emoji,🦂, Scorpion emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f982.svg,https://www.dictionary.com/e/emoji/scorpion-emoji/
21,scorpio-emoji,♏,  Scorpio emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/264f.svg,https://www.dictionary.com/e/emoji/scorpio-emoji/
22,red-flag-emoji,🚩, Red Flag emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6a9.svg,https://www.dictionary.com/e/emoji/red-flag-emoji/
23,flag-in-hole-emoji,⛳, Flag in Hole emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/26f3.svg,https://www.dictionary.com/e/emoji/flag-in-hole-emoji/
24,hot-beverage-emoji,☕, Hot Beverage emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2615.svg,https://www.dictionary.com/e/emoji/hot-beverage-emoji/
25,taco-emoji,🌮, Taco emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f32e.svg,https://www.dictionary.com/e/emoji/taco-emoji/
26,libra-emoji,♎, Libra emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/264e.svg,https://www.dictionary.com/e/emoji/libra-emoji/
27,rugby-football-emoji,🏉, Rugby Football emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3c9.svg,https://www.dictionary.com/e/emoji/rugby-football-emoji/
28,bacon-emoji,🥓, Bacon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f953.svg,https://www.dictionary.com/e/emoji/bacon-emoji/
